,reviews,sentiment
0, too much ,0
1,"I am a big fan of the MCU, I have watched every Marvel movie ever released, even the not so good ones prior to the MCU. I thought Infinity War was incredible and this simply did not follow up the hype for me. The first two hours were pretty boring for me, I didn't like the fact that they made Thor into a punchline for the entire movie, it would have been fine if they did that before the time jump, or made him somehow get back into shape, but it was just dumb. The Hulk was not a physical presence for the second straight movie now. Black Widow's death was the one that I felt the most, Stark's end was touching while Spidey was there, but when Pepper stepped in, her lack of emotion made me feel nothing also. The fight scene at the end was great, but other than that, it was a so-so movie for me.",1
2, Horrible ,0
3, It is the worst movie i have ever seen. ,0
4,"Is the movie entertaning? sure. is the movie good? nope. It's actually one of the weakest mcu movies. maybe even worse than black panther and spiderman. and those 2 were really bad.so basically, a rat saved the day. Not Hulk, not tony stark but a rat. oh, and time travel. it's like they wrote the scenario in 1 day, in rehab.It's a pitty that after Infinity War, which was awesome, we got this dissapointing finale.9 stars? lol.",0
5,"Everyone built this movie up, telling me it was amazing. They made it sound like it was the best one ever made...but I was completely disappointed.It's was long and stretched out, they had to put things in there that didn't have any business being in there, and in the end I just felt like it was a big ball of confusion.I was very disappointed in this one and so was my husband. Infinity Wars was great LOVED it but this one wasn't great.",1
6, Not good ,1
7, Terrible movie ,0
8, I was excited about this and it was going great until Captain Marvel swooped in to ruin this move also ,0
9,"The plot was messy, and so vast, with so many amazing characters, who were all simply diluted into one giant mess of a movie. Didn't really find the humour amazing either.",1
10, Shocket by such stupidity of a movie. ,0
11, Are you kidding me ,0
12,"Thor's take on ""the dude"" was the best part of the movie.Too long and sentimentalMost of the focus is on the original avengers which is good but many of the storylines were just not very excitingI would wait to see this on video",0
13,A complete let down as they tried to turn End Game into some family comedy bit. They should have stopped at Infinity War.,1
14,"Mild spoilers ahead: This movie could lose some 60 minutes and nobody would notice (or probably will - it would be more fun). Some great acting wasted. Exponential comic absurdity mixed with cheap philosophy. SFX could be much better for such an epic attempt. Weepy ending with forced pathos ruins everything. I was truly glad when it finally was over. 3 stars for wrapping this up, hopefully for good.",0
15," Good concept, poor execusion ",0
16,"I like the way all the plots come together to please the Marvel nerds, but geez it's boring. It reminded me of star wars 2 (or was it 3?) just loads and loads of abysmal cgi. Smashing, punch, zapping. Lots of creatures, lots of people running around. I watched it over 3 nights, it was that shallow. Unlike some films you can't stop, this made me doze of. They must've spent the budget on the cast and left none for story or cgi. Some of the characters were so forgetful I don't even know who they are. Who's the guy that looks like jesus? who's the lady that has red glowing hands? I would look on imdb, but the cast is so big I can't be bothered.",0
17,"A disjointed CGI mess. Too much going on to feel like a real narrative was going on. Very few laughs, didn't feel like it had much of a soul. Thought infinity war was a much more complete marvel movie.",0
18, I liked it ,1
19, More stars than it deserves ,0
20, 3 hours of cringe ,0
